god_name,description,mythology,godly_aspects
Eir , Goddess of healing,Norse,
Fjorgyn , Lover of Odin and mother of Thor. Also referred to as Earth.,Norse,
Forseti , God of Justice. Son of Balder and Nanna.,Norse,
Freyja , Main goddess of the Vanir (fertility gods). Daughter of Njord and sister of Freyr.,Norse,
Freyr , Important god of the Vanir. Son of Njord and brother of Freyja.,Norse,
Frigga , Main goddess. Wife of Odin and mother of Balder.,Norse,
Fulla , Goddess servant of Frigga.,Norse,
Gefion , Fertility goddess. Associated with the plow. Tricked the king of Sweden out of a tract of his land.,Norse,
Heimdall ," Watchman of the Norse gods and owner of the horn Gjall. Son of nine mothers. Often identified with Rig, the creator of three races of men.",Norse,
Hel ," ruler of Helheim, the realm of the dead",Norse,
Hermod , Son of Odin. Rode to Hel to try and rescue his brother Balder.,Norse,
Hod , Son of Odin. A blind god who accidentally killed his brother Balder. he will return after Ragnarok.,Norse,
Idun , Guardian of the golden apples of youth,Norse,
Kvasir , the wisest. Created from the spittle of the gods.,Norse,
Lofn , Goddess of ilicit unions.,Norse,
Loki ," The sly, trickster of the Norse gods. Son of two giants. Also known as the Sly One, the Trickster, the Shape Changer and the Sky Traveller. Becomes increasingly more evil. He is responsible for the death of Balder. Bound until Ragnarok.",Norse,
Magni , Son of Thor and the giantess Jarnsaxa. Will inherit Thor’s hammer Mjollnir with his brother Modi after Ragnarok.,Norse,
Mimir ," Wise Aesir god. Sent to the Vanir to seal the truce between the two groups of the Norse gods. Killed by the Vanir, his head is kept by Odin.",Norse,
Modgud , Maiden guardian of the bridge over the river Gjoll in Jotenheim.,Norse,
Modi , Son of Thor and the giantess Jarnsaxa. Will inherit Thor’s hammer Mjollnir with his brother Magni after Ragnarok.,Norse,
Moon , Son of Mundilfari. Guides the moon on it’s course.,Norse,
Nanna , Wife of Balder and daughter of Nep.,Norse,
Narvi , Also known as Nari. Son of Loki and Sigyn who was killed by his brother Vali.,Norse,
Night , Daughter of Narvi and mother of Day. Rides around the earth on her horse Hrimfaxi.,Norse,
Njord , A Vanir god associated with wind and sea. Husband of Skadi and father of Freyja and Freyr.,Norse,
Norns ," Urd “fate”, Skuld “being” and Verandi “necessity”. Three goddesses of destiny.",Norse,
Od , Missing husband of Freyja who she constantly mourns for.,Norse,
Odin ," King of the Norse Gods, God of poetry, battle and death. Chief god of the Aesir. Also known as the “all father”, the “terrible one”",Norse,
Ran , Wife of Aegir who dragged drowning men down with her net.,Norse,
Rig , Pseudonym of Heimdall and the creator of three races of men.,Norse,
Sjofn , Goddess of human passion.,Norse,
Skadi , Goddess of Winter and of the Hunt,Norse,
Sun , Daughter of Mundilfari and guide of the sun.,Norse,
Syn , Goddess of the accused at trial.,Norse,
Thor ," God of Sky, thunder and fertility. Associated with law and order in Asgard and guardian of the Norse gods. Son of Odin and Earth and husband of Sif. Also known as the “thunder god” and “charioteer”.",Norse,
Thrud , Daughter of Thor. Promised to the dwarf Alvis.,Norse,
Tyr , War god. Son of Odin who sacrificed his hand in the binding of Fenrir.,Norse,
Ull , God of archery and skiing.,Norse,
Vali , Son of Odin and the giantess Rind. Conceived to avenge the death of Balder.,Norse,
Vanir , Fertility gods.,Norse,
Var , Goddess of marriage oaths.,Norse,
Ve , Son of Bor and brother of Odin and Vili.,Norse,
Vidar , Son of Odin and the giantess Grid who will avenge Odin’s death after Ragnarok.,Norse,
Vili , Son of Bor and brother of Odin and Ve.,Norse,
Vor , Goddess who knows all.,Norse,
